name,type,group,description
Salary A,Income,收入,
Salary B,Income,收入,
Apartment I Rental,Income,收入,
Mandarin Tuition,Income,收入,
Apartment II Rental,Expenses,固定支出,
Apartment I Service Fee,Expenses,固定支出,
Apartment II Service Fee,Expenses,固定支出,
Apartment I Utilities,Expenses,固定支出,
Apartment II Utilities,Expenses,固定支出,
Car Installment,Expenses,固定支出,
Insurance,Expenses,固定支出,
Kid School Fee,Expenses,固定支出,
Afterschool Lesson,Expenses,固定支出,
Maid Salary,Expenses,固定支出,
Car Fuel,Expenses,弹性支出,
Medicine,Expenses,弹性支出,
Family Grocery (Food etc.),Expenses,弹性支出,
Shopping,Expenses,弹性支出,
Fun & Entertainment,Expenses,弹性支出,
Others (5% contingency),Expenses,弹性支出,
Saving,Savings,储蓄,
