date,type,category,amount,description
2022-01-01,Expenses,Apartment II Rental,3750000.0,
2022-01-02,Expenses,Apartment I Service Fee,1200000.0,
2022-01-03,Expenses,Apartment II Service Fee,1450000.0,
2022-01-04,Expenses,Apartment I Utilities,2000000.0,
2022-01-05,Expenses,Apartment II Utilities,1100000.0,
2022-01-06,Expenses,Car Fuel,1000000.0,
2022-01-07,Expenses,Insurance,6950000.0,
2022-01-08,Expenses,Medicine,2500000.0,
2022-01-09,Expenses,Family Grocery (Food etc.),8400000.0,
2022-01-10,Expenses,Shopping,1600000.0,
2022-01-11,Expenses,Fun & Entertainment,900000.0,
2022-01-12,Expenses,Kid School Fee,0.0,
2022-01-16,Income,Salary A,17500000.0,
2022-01-17,Income,Salary B,0.0,
2022-01-18,Income,Apartment I Rental,0.0,
2022-01-19,Income,Mandarin Tuition,3000000.0,
2022-01-25,Expenses,Afterschool Lesson,0.0,
2022-01-26,Expenses,Maid Salary,3200000.0,
2022-01-27,Expenses,Others (5% contingency),1000000.0,
2022-02-01,Expenses,Apartment II Rental,3750000.0,
2022-02-02,Expenses,Apartment I Service Fee,1200000.0,
2022-02-03,Expenses,Apartment II Service Fee,1450000.0,
2022-02-04,Expenses,Apartment I Utilities,2000000.0,
2022-02-05,Expenses,Apartment II Utilities,1100000.0,
2022-02-06,Expenses,Car Fuel,1000000.0,
2022-02-07,Expenses,Insurance,6950000.0,
2022-02-08,Expenses,Medicine,2500000.0,
2022-02-09,Expenses,Family Grocery (Food etc.),7300000.0,
2022-02-10,Expenses,Shopping,1700000.0,
2022-02-11,Expenses,Fun & Entertainment,0.0,
2022-02-12,Expenses,Kid School Fee,0.0,
2022-02-13,Expenses,Afterschool Lesson,0.0,
2022-02-14,Expenses,Maid Salary,3200000.0,
2022-02-15,Expenses,Others (5% contingency),1000000.0,
2022-02-16,Income,Salary A,17500000.0,
2022-02-17,Income,Salary B,0.0,
2022-02-18,Income,Apartment I Rental,0.0,
2022-02-19,Income,Mandarin Tuition,3000000.0,
2022-03-01,Expenses,Apartment II Rental,3750000.0,
2022-03-02,Expenses,Apartment I Service Fee,1200000.0,
2022-03-03,Expenses,Apartment II Service Fee,1450000.0,
2022-03-04,Expenses,Apartment I Utilities,1900000.0,
2022-03-05,Expenses,Apartment II Utilities,1000000.0,
2022-03-06,Expenses,Car Fuel,1000000.0,
2022-03-07,Expenses,Insurance,6950000.0,
2022-03-08,Expenses,Medicine,2500000.0,
2022-03-09,Expenses,Family Grocery (Food etc.),6700000.0,
2022-03-10,Expenses,Shopping,3100000.0,
2022-03-11,Expenses,Fun & Entertainment,0.0,
2022-03-12,Expenses,Kid School Fee,0.0,
2022-03-13,Expenses,Afterschool Lesson,0.0,
2022-03-14,Expenses,Maid Salary,3200000.0,
2022-03-15,Expenses,Others (5% contingency),1000000.0,
2022-03-16,Income,Salary A,17500000.0,
2022-03-17,Income,Salary B,0.0,
2022-03-18,Income,Apartment I Rental,0.0,
2022-03-19,Income,Mandarin Tuition,3000000.0,
2022-04-01,Expenses,Apartment II Rental,3750000.0,
2022-04-02,Expenses,Apartment I Service Fee,1200000.0,
2022-04-03,Expenses,Apartment II Service Fee,1450000.0,
2022-04-04,Expenses,Apartment I Utilities,1900000.0,
2022-04-05,Expenses,Apartment II Utilities,1350000.0,
2022-04-06,Expenses,Car Fuel,1000000.0,
2022-04-07,Expenses,Insurance,6950000.0,
2022-04-08,Expenses,Medicine,2500000.0,
2022-04-09,Expenses,Family Grocery (Food etc.),6800000.0,
2022-04-10,Expenses,Shopping,1600000.0,
2022-04-11,Expenses,Fun & Entertainment,3300000.0,
2022-04-12,Expenses,Kid School Fee,0.0,
2022-04-13,Expenses,Afterschool Lesson,0.0,
2022-04-14,Expenses,Maid Salary,3200000.0,
2022-04-15,Expenses,Others (5% contingency),6500000.0,
2022-04-16,Income,Salary A,17500000.0,
2022-04-17,Income,Salary B,0.0,
2022-04-18,Income,Apartment I Rental,0.0,
2022-04-19,Income,Mandarin Tuition,3000000.0,
2022-05-01,Expenses,Apartment II Rental,3750000.0,
2022-05-02,Expenses,Apartment I Service Fee,1200000.0,
2022-05-03,Expenses,Apartment II Service Fee,1450000.0,
2022-05-04,Expenses,Apartment I Utilities,2000000.0,
2022-05-05,Expenses,Apartment II Utilities,1100000.0,
2022-05-06,Expenses,Car Fuel,1000000.0,
2022-05-07,Expenses,Insurance,6950000.0,
2022-05-08,Expenses,Medicine,2500000.0,
2022-05-09,Expenses,Family Grocery (Food etc.),7100000.0,
2022-05-10,Expenses,Shopping,1400000.0,
2022-05-11,Expenses,Fun & Entertainment,2000000.0,
2022-05-12,Expenses,Kid School Fee,0.0,
2022-05-13,Expenses,Afterschool Lesson,0.0,
2022-05-14,Expenses,Maid Salary,3200000.0,
2022-05-15,Expenses,Others (5% contingency),4100000.0,
2022-05-16,Income,Salary A,17500000.0,
2022-05-17,Income,Salary B,0.0,
2022-05-18,Income,Apartment I Rental,0.0,
2022-05-19,Income,Mandarin Tuition,3000000.0,
2022-06-01,Expenses,Apartment II Rental,3750000.0,
2022-06-02,Expenses,Apartment I Service Fee,1200000.0,
2022-06-03,Expenses,Apartment II Service Fee,1450000.0,
2022-06-04,Expenses,Apartment I Utilities,700000.0,
2022-06-05,Expenses,Apartment II Utilities,1300000.0,
2022-06-06,Expenses,Car Fuel,1000000.0,
2022-06-07,Expenses,Insurance,6950000.0,
2022-06-08,Expenses,Medicine,2500000.0,
2022-06-09,Expenses,Family Grocery (Food etc.),4300000.0,
2022-06-10,Expenses,Shopping,3600000.0,
2022-06-11,Expenses,Fun & Entertainment,3500000.0,
2022-06-12,Expenses,Kid School Fee,0.0,
2022-06-13,Expenses,Afterschool Lesson,0.0,
2022-06-14,Expenses,Maid Salary,3200000.0,
2022-06-15,Expenses,Others (5% contingency),2500000.0,
2022-06-16,Income,Salary A,17500000.0,
2022-06-17,Income,Salary B,0.0,
2022-06-18,Income,Apartment I Rental,0.0,
2022-06-19,Income,Mandarin Tuition,3000000.0,
2022-07-01,Expenses,Apartment II Rental,3750000.0,
2022-07-02,Expenses,Apartment I Service Fee,1200000.0,
2022-07-03,Expenses,Apartment II Service Fee,1450000.0,
2022-07-04,Expenses,Apartment I Utilities,1000000.0,
2022-07-05,Expenses,Apartment II Utilities,1000000.0,
2022-07-06,Expenses,Car Fuel,1000000.0,
2022-07-07,Expenses,Insurance,6950000.0,
2022-07-08,Expenses,Medicine,2500000.0,
2022-07-09,Expenses,Family Grocery (Food etc.),11600000.0,
2022-07-10,Expenses,Shopping,2300000.0,
2022-07-11,Expenses,Fun & Entertainment,6000000.0,
2022-07-12,Expenses,Kid School Fee,0.0,
2022-07-13,Expenses,Afterschool Lesson,0.0,
2022-07-14,Expenses,Maid Salary,3200000.0,
2022-07-15,Expenses,Others (5% contingency),1300000.0,
2022-07-16,Income,Salary A,17500000.0,
2022-07-17,Income,Salary B,0.0,
2022-07-18,Income,Apartment I Rental,775000.0,
2022-07-19,Income,Mandarin Tuition,3000000.0,
2022-08-01,Expenses,Apartment II Rental,3750000.0,
2022-08-02,Expenses,Apartment I Service Fee,1200000.0,
2022-08-03,Expenses,Apartment II Service Fee,1450000.0,
2022-08-04,Expenses,Apartment I Utilities,1400000.0,
2022-08-05,Expenses,Apartment II Utilities,1200000.0,
2022-08-06,Expenses,Car Fuel,1000000.0,
2022-08-07,Expenses,Insurance,6950000.0,
2022-08-08,Expenses,Medicine,2500000.0,
2022-08-09,Expenses,Family Grocery (Food etc.),8800000.0,
2022-08-10,Expenses,Shopping,4600000.0,
2022-08-11,Expenses,Fun & Entertainment,4700000.0,
2022-08-12,Expenses,Kid School Fee,19300000.0,
2022-08-13,Expenses,Afterschool Lesson,0.0,
2022-08-14,Expenses,Maid Salary,3200000.0,
2022-08-15,Expenses,Others (5% contingency),5600000.0,
2022-08-16,Income,Salary A,17500000.0,
2022-08-17,Income,Salary B,0.0,
2022-08-18,Income,Apartment I Rental,4200000.0,
2022-08-19,Income,Mandarin Tuition,3000000.0,
2022-09-01,Expenses,Apartment II Rental,3750000.0,
2022-09-02,Expenses,Apartment I Service Fee,1200000.0,
2022-09-03,Expenses,Apartment II Service Fee,1450000.0,
2022-09-04,Expenses,Apartment I Utilities,1700000.0,
2022-09-05,Expenses,Apartment II Utilities,1400000.0,
2022-09-06,Expenses,Car Fuel,1000000.0,
2022-09-07,Expenses,Insurance,6950000.0,
2022-09-08,Expenses,Medicine,2500000.0,
2022-09-09,Expenses,Family Grocery (Food etc.),12000000.0,
2022-09-10,Expenses,Shopping,9000000.0,
2022-09-11,Expenses,Fun & Entertainment,6000000.0,
2022-09-12,Expenses,Kid School Fee,0.0,
2022-09-13,Expenses,Afterschool Lesson,0.0,
2022-09-14,Expenses,Maid Salary,3200000.0,
2022-09-15,Expenses,Others (5% contingency),5400000.0,
2022-09-16,Income,Salary A,17500000.0,
2022-09-17,Income,Salary B,0.0,
2022-09-18,Income,Apartment I Rental,11500000.0,
2022-09-19,Income,Mandarin Tuition,3000000.0,
2022-10-01,Expenses,Apartment II Rental,3750000.0,
2022-10-02,Expenses,Apartment I Service Fee,1200000.0,
2022-10-03,Expenses,Apartment II Service Fee,1450000.0,
2022-10-04,Expenses,Apartment I Utilities,1700000.0,
2022-10-05,Expenses,Apartment II Utilities,1400000.0,
2022-10-06,Expenses,Car Fuel,1000000.0,
2022-10-07,Expenses,Insurance,6950000.0,
2022-10-08,Expenses,Medicine,2500000.0,
2022-10-09,Expenses,Family Grocery (Food etc.),9500000.0,
2022-10-10,Expenses,Shopping,3000000.0,
2022-10-11,Expenses,Fun & Entertainment,2400000.0,
2022-10-12,Expenses,Kid School Fee,0.0,
2022-10-13,Expenses,Afterschool Lesson,0.0,
2022-10-14,Expenses,Maid Salary,3200000.0,
2022-10-15,Expenses,Others (5% contingency),11000000.0,
2022-10-16,Income,Salary A,17500000.0,
2022-10-17,Income,Salary B,0.0,
2022-10-18,Income,Apartment I Rental,12700000.0,
2022-10-19,Income,Mandarin Tuition,3000000.0,
2022-11-01,Expenses,Apartment II Rental,3750000.0,
2022-11-02,Expenses,Apartment I Service Fee,1200000.0,
2022-11-03,Expenses,Apartment II Service Fee,1450000.0,
2022-11-04,Expenses,Apartment I Utilities,1700000.0,
2022-11-05,Expenses,Apartment II Utilities,1400000.0,
2022-11-06,Expenses,Car Fuel,1000000.0,
2022-11-07,Expenses,Insurance,6950000.0,
2022-11-08,Expenses,Medicine,2500000.0,
2022-11-09,Expenses,Family Grocery (Food etc.),8000000.0,
2022-11-10,Expenses,Shopping,13700000.0,
2022-11-11,Expenses,Fun & Entertainment,4700000.0,
2022-11-12,Expenses,Kid School Fee,0.0,
2022-11-13,Expenses,Afterschool Lesson,0.0,
2022-11-14,Expenses,Maid Salary,3200000.0,
2022-11-15,Expenses,Others (5% contingency),155000.0,
2022-11-16,Income,Salary A,17500000.0,
2022-11-17,Income,Salary B,0.0,
2022-11-18,Income,Apartment I Rental,4400000.0,
2022-11-19,Income,Mandarin Tuition,3000000.0,
2022-12-01,Expenses,Apartment II Rental,3750000.0,
2022-12-02,Expenses,Apartment I Service Fee,1200000.0,
2022-12-03,Expenses,Apartment II Service Fee,1450000.0,
2022-12-04,Expenses,Apartment I Utilities,1700000.0,
2022-12-05,Expenses,Apartment II Utilities,1400000.0,
2022-12-06,Expenses,Car Fuel,1000000.0,
2022-12-07,Expenses,Insurance,6950000.0,
2022-12-08,Expenses,Medicine,2500000.0,
2022-12-09,Expenses,Family Grocery (Food etc.),8000000.0,
2022-12-10,Expenses,Shopping,3400000.0,
2022-12-11,Expenses,Fun & Entertainment,5000000.0,
2022-12-12,Expenses,Kid School Fee,5900000.0,
2022-12-13,Expenses,Afterschool Lesson,800000.0,
2022-12-14,Expenses,Maid Salary,3200000.0,
2022-12-15,Expenses,Others (5% contingency),3700000.0,
2022-12-16,Income,Salary A,17500000.0,
2022-12-17,Income,Salary B,0.0,
2022-12-18,Income,Apartment I Rental,11300000.0,
2022-12-19,Income,Mandarin Tuition,3000000.0,
